Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Graveler,75,Rock,Ground,390,55,95,115,45,45,35,1,False
Golem,76,Rock,Ground,495,80,120,130,55,65,45,1,False
Ponyta,77,Fire,,410,50,85,55,65,65,90,1,False
Rapidash,78,Fire,,500,65,100,70,80,80,105,1,False
Slowpoke,79,Water,Psychic,315,90,65,65,40,40,15,1,False
Slowbro,80,Water,Psychic,490,95,75,110,100,80,30,1,False
SlowbroMega Slowbro,80,Water,Psychic,590,95,75,180,130,80,30,1,False
Magnemite,81,Electric,Steel,325,25,35,70,95,55,45,1,False
Magneton,82,Electric,Steel,465,50,60,95,120,70,70,1,False
Farfetch'd,83,Normal,Flying,352,52,65,55,58,62,60,1,False
Doduo,84,Normal,Flying,310,35,85,45,35,35,75,1,False
Dodrio,85,Normal,Flying,460,60,110,70,60,60,100,1,False
Seel,86,Water,,325,65,45,55,45,70,45,1,False
Dewgong,87,Water,Ice,475,90,70,80,70,95,70,1,False
Grimer,88,Poison,,325,80,80,50,40,50,25,1,False
Muk,89,Poison,,500,105,105,75,65,100,50,1,False
Shellder,90,Water,,305,30,65,100,45,25,40,1,False
Cloyster,91,Water,Ice,525,50,95,180,85,45,70,1,False
Gastly,92,Ghost,Poison,310,30,35,30,100,35,80,1,False
Haunter,93,Ghost,Poison,405,45,50,45,115,55,95,1,False
Gengar,94,Ghost,Poison,500,60,65,60,130,75,110,1,False
GengarMega Gengar,94,Ghost,Poison,600,60,65,80,170,95,130,1,False
Onix,95,Rock,Ground,385,35,45,160,30,45,70,1,False
Drowzee,96,Psychic,,328,60,48,45,43,90,42,1,False
Hypno,97,Psychic,,483,85,73,70,73,115,67,1,False
Krabby,98,Water,,325,30,105,90,25,25,50,1,False
Kingler,99,Water,,475,55,130,115,50,50,75,1,False
Voltorb,100,Electric,,330,40,30,50,55,55,100,1,False
Electrode,101,Electric,,480,60,50,70,80,80,140,1,False
Exeggcute,102,Grass,Psychic,325,60,40,80,60,45,40,1,False
Exeggutor,103,Grass,Psychic,520,95,95,85,125,65,55,1,False
Cubone,104,Ground,,320,50,50,95,40,50,35,1,False
Marowak,105,Ground,,425,60,80,110,50,80,45,1,False
Hitmonlee,106,Fighting,,455,50,120,53,35,110,87,1,False
Hitmonchan,107,Fighting,,455,50,105,79,35,110,76,1,False
Lickitung,108,Normal,,385,90,55,75,60,75,30,1,False
Koffing,109,Poison,,340,40,65,95,60,45,35,1,False
Weezing,110,Poison,,490,65,90,120,85,70,60,1,False
Rhyhorn,111,Ground,Rock,345,80,85,95,30,30,25,1,False
Rhydon,112,Ground,Rock,485,105,130,120,45,45,40,1,False
Chansey,113,Normal,,450,250,5,5,35,105,50,1,False
Tangela,114,Grass,,435,65,55,115,100,40,60,1,False
Kangaskhan,115,Normal,,490,105,95,80,40,80,90,1,False
KangaskhanMega Kangaskhan,115,Normal,,590,105,125,100,60,100,100,1,False
Horsea,116,Water,,295,30,40,70,70,25,60,1,False
Seadra,117,Water,,440,55,65,95,95,45,85,1,False
Goldeen,118,Water,,320,45,67,60,35,50,63,1,False
Seaking,119,Water,,450,80,92,65,65,80,68,1,False
Staryu,120,Water,,340,30,45,55,70,55,85,1,False
Starmie,121,Water,Psychic,520,60,75,85,100,85,115,1,False
Mr. Mime,122,Psychic,Fairy,460,40,45,65,100,120,90,1,False
Scyther,123,Bug,Flying,500,70,110,80,55,80,105,1,False
Jynx,124,Ice,Psychic,455,65,50,35,115,95,95,1,False
Electabuzz,125,Electric,,490,65,83,57,95,85,105,1,False
Magmar,126,Fire,,495,65,95,57,100,85,93,1,False
Pinsir,127,Bug,,500,65,125,100,55,70,85,1,False
PinsirMega Pinsir,127,Bug,Flying,600,65,155,120,65,90,105,1,False
Tauros,128,Normal,,490,75,100,95,40,70,110,1,False
Magikarp,129,Water,,200,20,10,55,15,20,80,1,False
Gyarados,130,Water,Flying,540,95,125,79,60,100,81,1,False
GyaradosMega Gyarados,130,Water,Dark,640,95,155,109,70,130,81,1,False
Lapras,131,Water,Ice,535,130,85,80,85,95,60,1,False
Ditto,132,Normal,,288,48,48,48,48,48,48,1,False
Eevee,133,Normal,,325,55,55,50,45,65,55,1,False
Vaporeon,134,Water,,525,130,65,60,110,95,65,1,False
Jolteon,135,Electric,,525,65,65,60,110,95,130,1,False
Flareon,136,Fire,,525,65,130,60,95,110,65,1,False
Porygon,137,Normal,,395,65,60,70,85,75,40,1,False
Omanyte,138,Rock,Water,355,35,40,100,90,55,35,1,False
Omastar,139,Rock,Water,495,70,60,125,115,70,55,1,False
Kabuto,140,Rock,Water,355,30,80,90,55,45,55,1,False
Kabutops,141,Rock,Water,495,60,115,105,65,70,80,1,False
Aerodactyl,142,Rock,Flying,515,80,105,65,60,75,130,1,False
AerodactylMega Aerodactyl,142,Rock,Flying,615,80,135,85,70,95,150,1,False
Snorlax,143,Normal,,540,160,110,65,65,110,30,1,False
Articuno,144,Ice,Flying,580,90,85,100,95,125,85,1,True
Zapdos,145,Electric,Flying,580,90,90,85,125,90,100,1,True
Moltres,146,Fire,Flying,580,90,100,90,125,85,90,1,True
Dratini,147,Dragon,,300,41,64,45,50,50,50,1,False
Dragonair,148,Dragon,,420,61,84,65,70,70,70,1,False
Dragonite,149,Dragon,Flying,600,91,134,95,100,100,80,1,False
Mewtwo,150,Psychic,,680,106,110,90,154,90,130,1,True
MewtwoMega Mewtwo X,150,Psychic,Fighting,780,106,190,100,154,100,130,1,True
MewtwoMega Mewtwo Y,150,Psychic,,780,106,150,70,194,120,140,1,True
Mew,151,Psychic,,600,100,100,100,100,100,100,1,False
Chikorita,152,Grass,,318,45,49,65,49,65,45,2,False
Bayleef,153,Grass,,405,60,62,80,63,80,60,2,False
Meganium,154,Grass,,525,80,82,100,83,100,80,2,False
Cyndaquil,155,Fire,,309,39,52,43,60,50,65,2,False
Quilava,156,Fire,,405,58,64,58,80,65,80,2,False
Typhlosion,157,Fire,,534,78,84,78,109,85,100,2,False
Totodile,158,Water,,314,50,65,64,44,48,43,2,False
Croconaw,159,Water,,405,65,80,80,59,63,58,2,False
Feraligatr,160,Water,,530,85,105,100,79,83,78,2,False
Sentret,161,Normal,,215,35,46,34,35,45,20,2,False
Furret,162,Normal,,415,85,76,64,45,55,90,2,False
Hoothoot,163,Normal,Flying,262,60,30,30,36,56,50,2,False
Noctowl,164,Normal,Flying,442,100,50,50,76,96,70,2,False
Ledyba,165,Bug,Flying,265,40,20,30,40,80,55,2,False
Ledian,166,Bug,Flying,390,55,35,50,55,110,85,2,False
Spinarak,167,Bug,Poison,250,40,60,40,40,40,30,2,False
Ariados,168,Bug,Poison,390,70,90,70,60,60,40,2,False
Crobat,169,Poison,Flying,535,85,90,80,70,80,130,2,False
Chinchou,170,Water,Electric,330,75,38,38,56,56,67,2,False
Lanturn,171,Water,Electric,460,125,58,58,76,76,67,2,False
Pichu,172,Electric,,205,20,40,15,35,35,60,2,False
Cleffa,173,Fairy,,218,50,25,28,45,55,15,2,False
Igglybuff,174,Normal,Fairy,210,90,30,15,40,20,15,2,False
Togepi,175,Fairy,,245,35,20,65,40,65,20,2,False
Togetic,176,Fairy,Flying,405,55,40,85,80,105,40,2,False
Natu,177,Psychic,Flying,320,40,50,45,70,45,70,2,False
Xatu,178,Psychic,Flying,470,65,75,70,95,70,95,2,False
Mareep,179,Electric,,280,55,40,40,65,45,35,2,False
Flaaffy,180,Electric,,365,70,55,55,80,60,45,2,False
Ampharos,181,Electric,,510,90,75,85,115,90,55,2,False
AmpharosMega Ampharos,181,Electric,Dragon,610,90,95,105,165,110,45,2,False
Bellossom,182,Grass,,490,75,80,95,90,100,50,2,False
Marill,183,Water,Fairy,250,70,20,50,20,50,40,2,False
Azumarill,184,Water,Fairy,420,100,50,80,60,80,50,2,False
Sudowoodo,185,Rock,,410,70,100,115,30,65,30,2,False
Politoed,186,Water,,500,90,75,75,90,100,70,2,False
Hoppip,187,Grass,Flying,250,35,35,40,35,55,50,2,False
Skiploom,188,Grass,Flying,340,55,45,50,45,65,80,2,False
Jumpluff,189,Grass,Flying,460,75,55,70,55,95,110,2,False
Aipom,190,Normal,,360,55,70,55,40,55,85,2,False
Sunkern,191,Grass,,180,30,30,30,30,30,30,2,False
Sunflora,192,Grass,,425,75,75,55,105,85,30,2,False
Yanma,193,Bug,Flying,390,65,65,45,75,45,95,2,False
Wooper,194,Water,Ground,210,55,45,45,25,25,15,2,False
Quagsire,195,Water,Ground,430,95,85,85,65,65,35,2,False
Espeon,196,Psychic,,525,65,65,60,130,95,110,2,False
Umbreon,197,Dark,,525,95,65,110,60,130,65,2,False
Murkrow,198,Dark,Flying,405,60,85,42,85,42,91,2,False
Slowking,199,Water,Psychic,490,95,75,80,100,110,30,2,False
Misdreavus,200,Ghost,,435,60,60,60,85,85,85,2,False
Unown,201,Psychic,,336,48,72,48,72,48,48,2,False
Wobbuffet,202,Psychic,,405,190,33,58,33,58,33,2,False
Girafarig,203,Normal,Psychic,455,70,80,65,90,65,85,2,False
Pineco,204,Bug,,290,50,65,90,35,35,15,2,False
Forretress,205,Bug,Steel,465,75,90,140,60,60,40,2,False
Dunsparce,206,Normal,,415,100,70,70,65,65,45,2,False
Gligar,207,Ground,Flying,430,65,75,105,35,65,85,2,False
Steelix,208,Steel,Ground,510,75,85,200,55,65,30,2,False
SteelixMega Steelix,208,Steel,Ground,610,75,125,230,55,95,30,2,False
Snubbull,209,Fairy,,300,60,80,50,40,40,30,2,False
Granbull,210,Fairy,,450,90,120,75,60,60,45,2,False
Qwilfish,211,Water,Poison,430,65,95,75,55,55,85,2,False
Scizor,212,Bug,Steel,500,70,130,100,55,80,65,2,False
ScizorMega Scizor,212,Bug,Steel,600,70,150,140,65,100,75,2,False
Shuckle,213,Bug,Rock,505,20,10,230,10,230,5,2,False
Heracross,214,Bug,Fighting,500,80,125,75,40,95,85,2,False
HeracrossMega Heracross,214,Bug,Fighting,600,80,185,115,40,105,75,2,False
Sneasel,215,Dark,Ice,430,55,95,55,35,75,115,2,False
Teddiursa,216,Normal,,330,60,80,50,50,50,40,2,False
Ursaring,217,Normal,,500,90,130,75,75,75,55,2,False
Slugma,218,Fire,,250,40,40,40,70,40,20,2,False
Magcargo,219,Fire,Rock,410,50,50,120,80,80,30,2,False
Swinub,220,Ice,Ground,250,50,50,40,30,30,50,2,False
Piloswine,221,Ice,Ground,450,100,100,80,60,60,50,2,False
Corsola,222,Water,Rock,380,55,55,85,65,85,35,2,False
Remoraid,223,Water,,300,35,65,35,65,35,65,2,False
Octillery,224,Water,,480,75,105,75,105,75,45,2,False
Delibird,225,Ice,Flying,330,45,55,45,65,45,75,2,False
Mantine,226,Water,Flying,465,65,40,70,80,140,70,2,False
Skarmory,227,Steel,Flying,465,65,80,140,40,70,70,2,False
Houndour,228,Dark,Fire,330,45,60,30,80,50,65,2,False
Houndoom,229,Dark,Fire,500,75,90,50,110,80,95,2,False
HoundoomMega Houndoom,229,Dark,Fire,600,75,90,90,140,90,115,2,False
Kingdra,230,Water,Dragon,540,75,95,95,95,95,85,2,False
Phanpy,231,Ground,,330,90,60,60,40,40,40,2,False
Donphan,232,Ground,,500,90,120,120,60,60,50,2,False
Porygon2,233,Normal,,515,85,80,90,105,95,60,2,False
Stantler,234,Normal,,465,73,95,62,85,65,85,2,False
Smeargle,235,Normal,,250,55,20,35,20,45,75,2,False
Tyrogue,236,Fighting,,210,35,35,35,35,35,35,2,False
Hitmontop,237,Fighting,,455,50,95,95,35,110,70,2,False
Smoochum,238,Ice,Psychic,305,45,30,15,85,65,65,2,False
Elekid,239,Electric,,360,45,63,37,65,55,95,2,False
Magby,240,Fire,,365,45,75,37,70,55,83,2,False
Miltank,241,Normal,,490,95,80,105,40,70,100,2,False
Blissey,242,Normal,,540,255,10,10,75,135,55,2,False
Raikou,243,Electric,,580,90,85,75,115,100,115,2,True
Entei,244,Fire,,580,115,115,85,90,75,100,2,True
Suicune,245,Water,,580,100,75,115,90,115,85,2,True
Larvitar,246,Rock,Ground,300,50,64,50,45,50,41,2,False
Pupitar,247,Rock,Ground,410,70,84,70,65,70,51,2,False
Tyranitar,248,Rock,Dark,600,100,134,110,95,100,61,2,False
TyranitarMega Tyranitar,248,Rock,Dark,700,100,164,150,95,120,71,2,False
Lugia,249,Psychic,Flying,680,106,90,130,90,154,110,2,True
Ho-oh,250,Fire,Flying,680,106,130,90,110,154,90,2,True
Celebi,251,Psychic,Grass,600,100,100,100,100,100,100,2,False
Treecko,252,Grass,,310,40,45,35,65,55,70,3,False
Grovyle,253,Grass,,405,50,65,45,85,65,95,3,False
Sceptile,254,Grass,,530,70,85,65,105,85,120,3,False
SceptileMega Sceptile,254,Grass,Dragon,630,70,110,75,145,85,145,3,False
Torchic,255,Fire,,310,45,60,40,70,50,45,3,False
Combusken,256,Fire,Fighting,405,60,85,60,85,60,55,3,False
Blaziken,257,Fire,Fighting,530,80,120,70,110,70,80,3,False
BlazikenMega Blaziken,257,Fire,Fighting,630,80,160,80,130,80,100,3,False
Mudkip,258,Water,,310,50,70,50,50,50,40,3,False
Marshtomp,259,Water,Ground,405,70,85,70,60,70,50,3,False
Swampert,260,Water,Ground,535,100,110,90,85,90,60,3,False
SwampertMega Swampert,260,Water,Ground,635,100,150,110,95,110,70,3,False
Poochyena,261,Dark,,220,35,55,35,30,30,35,3,False
Mightyena,262,Dark,,420,70,90,70,60,60,70,3,False
Zigzagoon,263,Normal,,240,38,30,41,30,41,60,3,False
Linoone,264,Normal,,420,78,70,61,50,61,100,3,False
Wurmple,265,Bug,,195,45,45,35,20,30,20,3,False
Silcoon,266,Bug,,205,50,35,55,25,25,15,3,False
Beautifly,267,Bug,Flying,395,60,70,50,100,50,65,3,False
Cascoon,268,Bug,,205,50,35,55,25,25,15,3,False
Dustox,269,Bug,Poison,385,60,50,70,50,90,65,3,False
Lotad,270,Water,Grass,220,40,30,30,40,50,30,3,False
Lombre,271,Water,Grass,340,60,50,50,60,70,50,3,False
Ludicolo,272,Water,Grass,480,80,70,70,90,100,70,3,False
Seedot,273,Grass,,220,40,40,50,30,30,30,3,False
Nuzleaf,274,Grass,Dark,340,70,70,40,60,40,60,3,False
Shiftry,275,Grass,Dark,480,90,100,60,90,60,80,3,False
Taillow,276,Normal,Flying,270,40,55,30,30,30,85,3,False
Swellow,277,Normal,Flying,430,60,85,60,50,50,125,3,False
Wingull,278,Water,Flying,270,40,30,30,55,30,85,3,False
Pelipper,279,Water,Flying,430,60,50,100,85,70,65,3,False
Ralts,280,Psychic,Fairy,198,28,25,25,45,35,40,3,False
Kirlia,281,Psychic,Fairy,278,38,35,35,65,55,50,3,False
Gardevoir,282,Psychic,Fairy,518,68,65,65,125,115,80,3,False
GardevoirMega Gardevoir,282,Psychic,Fairy,618,68,85,65,165,135,100,3,False
Surskit,283,Bug,Water,269,40,30,32,50,52,65,3,False
Masquerain,284,Bug,Flying,414,70,60,62,80,82,60,3,False
Shroomish,285,Grass,,295,60,40,60,40,60,35,3,False
Breloom,286,Grass,Fighting,460,60,130,80,60,60,70,3,False
Slakoth,287,Normal,,280,60,60,60,35,35,30,3,False
Vigoroth,288,Normal,,440,80,80,80,55,55,90,3,False
Slaking,289,Normal,,670,150,160,100,95,65,100,3,False
Nincada,290,Bug,Ground,266,31,45,90,30,30,40,3,False
Ninjask,291,Bug,Flying,456,61,90,45,50,50,160,3,False
Shedinja,292,Bug,Ghost,236,1,90,45,30,30,40,3,False
Whismur,293,Normal,,240,64,51,23,51,23,28,3,False
Loudred,294,Normal,,360,84,71,43,71,43,48,3,False
Exploud,295,Normal,,490,104,91,63,91,73,68,3,False
Makuhita,296,Fighting,,237,72,60,30,20,30,25,3,False
Hariyama,297,Fighting,,474,144,120,60,40,60,50,3,False
Azurill,298,Normal,Fairy,190,50,20,40,20,40,20,3,False
Nosepass,299,Rock,,375,30,45,135,45,90,30,3,False
Skitty,300,Normal,,260,50,45,45,35,35,50,3,False
Delcatty,301,Normal,,380,70,65,65,55,55,70,3,False
Sableye,302,Dark,Ghost,380,50,75,75,65,65,50,3,False
SableyeMega Sableye,302,Dark,Ghost,480,50,85,125,85,115,20,3,False
Mawile,303,Steel,Fairy,380,50,85,85,55,55,50,3,False
MawileMega Mawile,303,Steel,Fairy,480,50,105,125,55,95,50,3,False
Aron,304,Steel,Rock,330,50,70,100,40,40,30,3,False
Lairon,305,Steel,Rock,430,60,90,140,50,50,40,3,False
Aggron,306,Steel,Rock,530,70,110,180,60,60,50,3,False
AggronMega Aggron,306,Steel,,630,70,140,230,60,80,50,3,False
Meditite,307,Fighting,Psychic,280,30,40,55,40,55,60,3,False
Medicham,308,Fighting,Psychic,410,60,60,75,60,75,80,3,False
MedichamMega Medicham,308,Fighting,Psychic,510,60,100,85,80,85,100,3,False
Electrike,309,Electric,,295,40,45,40,65,40,65,3,False
Manectric,310,Electric,,475,70,75,60,105,60,105,3,False
ManectricMega Manectric,310,Electric,,575,70,75,80,135,80,135,3,False
Plusle,311,Electric,,405,60,50,40,85,75,95,3,False
Minun,312,Electric,,405,60,40,50,75,85,95,3,False
Volbeat,313,Bug,,400,65,73,55,47,75,85,3,False
Illumise,314,Bug,,400,65,47,55,73,75,85,3,False
Roselia,315,Grass,Poison,400,50,60,45,100,80,65,3,False
Gulpin,316,Poison,,302,70,43,53,43,53,40,3,False
Swalot,317,Poison,,467,100,73,83,73,83,55,3,False
Carvanha,318,Water,Dark,305,45,90,20,65,20,65,3,False
Sharpedo,319,Water,Dark,460,70,120,40,95,40,95,3,False
SharpedoMega Sharpedo,319,Water,Dark,560,70,140,70,110,65,105,3,False
Wailmer,320,Water,,400,130,70,35,70,35,60,3,False
Wailord,321,Water,,500,170,90,45,90,45,60,3,False
Numel,322,Fire,Ground,305,60,60,40,65,45,35,3,False
Camerupt,323,Fire,Ground,460,70,100,70,105,75,40,3,False
CameruptMega Camerupt,323,Fire,Ground,560,70,120,100,145,105,20,3,False
Torkoal,324,Fire,,470,70,85,140,85,70,20,3,False
Spoink,325,Psychic,,330,60,25,35,70,80,60,3,False
Grumpig,326,Psychic,,470,80,45,65,90,110,80,3,False
Spinda,327,Normal,,360,60,60,60,60,60,60,3,False
Trapinch,328,Ground,,290,45,100,45,45,45,10,3,False
Vibrava,329,Ground,Dragon,340,50,70,50,50,50,70,3,False
Flygon,330,Ground,Dragon,520,80,100,80,80,80,100,3,False
Cacnea,331,Grass,,335,50,85,40,85,40,35,3,False
Cacturne,332,Grass,Dark,475,70,115,60,115,60,55,3,False
Swablu,333,Normal,Flying,310,45,40,60,40,75,50,3,False
Altaria,334,Dragon,Flying,490,75,70,90,70,105,80,3,False
AltariaMega Altaria,334,Dragon,Fairy,590,75,110,110,110,105,80,3,False
Zangoose,335,Normal,,458,73,115,60,60,60,90,3,False
Seviper,336,Poison,,458,73,100,60,100,60,65,3,False
Lunatone,337,Rock,Psychic,440,70,55,65,95,85,70,3,False
Solrock,338,Rock,Psychic,440,70,95,85,55,65,70,3,False
Barboach,339,Water,Ground,288,50,48,43,46,41,60,3,False
Whiscash,340,Water,Ground,468,110,78,73,76,71,60,3,False
Corphish,341,Water,,308,43,80,65,50,35,35,3,False
Crawdaunt,342,Water,Dark,468,63,120,85,90,55,55,3,False
Baltoy,343,Ground,Psychic,300,40,40,55,40,70,55,3,False
Claydol,344,Ground,Psychic,500,60,70,105,70,120,75,3,False
Lileep,345,Rock,Grass,355,66,41,77,61,87,23,3,False
Cradily,346,Rock,Grass,495,86,81,97,81,107,43,3,False
Anorith,347,Rock,Bug,355,45,95,50,40,50,75,3,False
Armaldo,348,Rock,Bug,495,75,125,100,70,80,45,3,False
Feebas,349,Water,,200,20,15,20,10,55,80,3,False
Milotic,350,Water,,540,95,60,79,100,125,81,3,False
Castform,351,Normal,,420,70,70,70,70,70,70,3,False
Kecleon,352,Normal,,440,60,90,70,60,120,40,3,False
Shuppet,353,Ghost,,295,44,75,35,63,33,45,3,False
Banette,354,Ghost,,455,64,115,65,83,63,65,3,False
BanetteMega Banette,354,Ghost,,555,64,165,75,93,83,75,3,False
Duskull,355,Ghost,,295,20,40,90,30,90,25,3,False
Dusclops,356,Ghost,,455,40,70,130,60,130,25,3,False
Tropius,357,Grass,Flying,460,99,68,83,72,87,51,3,False
Chimecho,358,Psychic,,425,65,50,70,95,80,65,3,False
Absol,359,Dark,,465,65,130,60,75,60,75,3,False
AbsolMega Absol,359,Dark,,565,65,150,60,115,60,115,3,False
Wynaut,360,Psychic,,260,95,23,48,23,48,23,3,False
Snorunt,361,Ice,,300,50,50,50,50,50,50,3,False
Glalie,362,Ice,,480,80,80,80,80,80,80,3,False
GlalieMega Glalie,362,Ice,,580,80,120,80,120,80,100,3,False
Spheal,363,Ice,Water,290,70,40,50,55,50,25,3,False
Sealeo,364,Ice,Water,410,90,60,70,75,70,45,3,False
Walrein,365,Ice,Water,530,110,80,90,95,90,65,3,False
Clamperl,366,Water,,345,35,64,85,74,55,32,3,False
Huntail,367,Water,,485,55,104,105,94,75,52,3,False
Gorebyss,368,Water,,485,55,84,105,114,75,52,3,False
Relicanth,369,Water,Rock,485,100,90,130,45,65,55,3,False
Luvdisc,370,Water,,330,43,30,55,40,65,97,3,False
Bagon,371,Dragon,,300,45,75,60,40,30,50,3,False
Shelgon,372,Dragon,,420,65,95,100,60,50,50,3,False
Salamence,373,Dragon,Flying,600,95,135,80,110,80,100,3,False
SalamenceMega Salamence,373,Dragon,Flying,700,95,145,130,120,90,120,3,False
Beldum,374,Steel,Psychic,300,40,55,80,35,60,30,3,False
Metang,375,Steel,Psychic,420,60,75,100,55,80,50,3,False
Metagross,376,Steel,Psychic,600,80,135,130,95,90,70,3,False
MetagrossMega Metagross,376,Steel,Psychic,700,80,145,150,105,110,110,3,False
Regirock,377,Rock,,580,80,100,200,50,100,50,3,True
Regice,378,Ice,,580,80,50,100,100,200,50,3,True
Registeel,379,Steel,,580,80,75,150,75,150,50,3,True
Latias,380,Dragon,Psychic,600,80,80,90,110,130,110,3,True
LatiasMega Latias,380,Dragon,Psychic,700,80,100,120,140,150,110,3,True
Latios,381,Dragon,Psychic,600,80,90,80,130,110,110,3,True
LatiosMega Latios,381,Dragon,Psychic,700,80,130,100,160,120,110,3,True
Kyogre,382,Water,,670,100,100,90,150,140,90,3,True
