,alias,categories,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,is_closed,location_address1,location_address2,location_address3,location_city,location_country,location_display_address,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
10,aquí-está-coco-santiago,"[{'alias': 'seafood', 'title': 'Seafood'}]",-33.42406349,-70.61662393,+56 24106200,2355.685975177847,y2FR-JBGie4wiW6RjtKLhg,https://s3-media2.fl.yelpcdn.com/bphoto/6IkPzbpIYkumSEMoFkiuFg/o.jpg,False,La Concepción 236,,,Santiago,CL,"['La Concepción 236', 'RM Santiago', 'Chile']",RM,,Aquí Está Coco,+5624106200,$$$$,4.5,52,[],https://www.yelp.com/biz/aqu%C3%AD-est%C3%A1-coco-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
11,silvestre-bistró-santiago,"[{'alias': 'signature_cuisine', 'title': 'Signature Cuisine'}]",-33.448243,-70.6236202,+56 9 9156 9974,519.4119376281693,FcQ0WD5LiJTxCZ0kGH2yww,https://s3-media1.fl.yelpcdn.com/bphoto/f1Fc26Wou2DE5IGHzkYJRA/o.jpg,False,Caupolicán 511,,,Santiago,CL,"['Caupolicán 511', 'RM Santiago', 'Chile']",RM,,Silvestre Bistró,+56991569974,$$,4.5,15,[],https://www.yelp.com/biz/silvestre-bistr%C3%B3-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
12,new-horizon-santiago-2,"[{'alias': 'indpak', 'title': 'Indian'}]",-33.437766,-70.64511,+56 2 2632 3622,1932.7058464670044,ru9I6hxoA3HqkkZpZ0p5UQ,https://s3-media1.fl.yelpcdn.com/bphoto/89oPBvcoSdqdpN_A8JMI-g/o.jpg,False,Merced 565,,,Santiago,CL,"['Merced 565', 'RM 8320000 Santiago', 'Chile']",RM,8320000,New Horizon,+56226323622,$,4.0,28,[],https://www.yelp.com/biz/new-horizon-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
13,chipe-libre-república-independiente-del-pisco-santiago-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'chilean', 'title': 'Chilean'}]",-33.4383392,-70.6411438,+56 2 2664 0584,1567.3269069210853,LGwEqYL0reUsRdtqE44ITQ,https://s3-media3.fl.yelpcdn.com/bphoto/ZXTniS5ztC85xXcerJDDZg/o.jpg,False,José Victorino Lastarria 282,,,Santiago,CL,"['José Victorino Lastarria 282', 'RM 8320156 Santiago', 'Chile']",RM,8320156,Chipe Libre - República Independiente del Pisco,+56226640584,$$$,4.5,62,[],https://www.yelp.com/biz/chipe-libre-rep%C3%BAblica-independiente-del-pisco-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
14,tiramisú-santiago-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",-33.414562406985,-70.597506713488,+56 2 2519 4900,4174.546059246231,ffHk4q3jDiMrTMLLU6kcIA,https://s3-media3.fl.yelpcdn.com/bphoto/Dtga6mZ0iMv8UFOIl0cvfw/o.jpg,False,Av. Isidora Goyenechea 3141,,,Santiago,CL,"['Av. Isidora Goyenechea 3141', 'RM 7550000 Santiago', 'Chile']",RM,7550000,Tiramisú,+56225194900,$$,4.5,82,[],https://www.yelp.com/biz/tiramis%C3%BA-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
15,la-argentina-providencia,"[{'alias': 'pizza', 'title': 'Pizza'}]",-33.443994,-70.62574,+56 9 5328 0020,17.723375843036596,vjU6JHEJDr7gk5UKGMTROA,https://s3-media2.fl.yelpcdn.com/bphoto/2RMQRqc_5XoVStQQfOnqHg/o.jpg,False,Av. Italia 989,,,Providencia,CL,"['Av. Italia 989', 'RM Providencia', 'Chile']",RM,,La Argentina,+56953280020,,5.0,2,[],https://www.yelp.com/biz/la-argentina-providencia?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
16,el-camino-santiago,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bbq', 'title': 'Barbeque'}]",-33.44413,-70.62555,+56 2 2986 0765,25.192076784947314,LyUwbW2c_0TpaYLp1tY0Gg,https://s3-media4.fl.yelpcdn.com/bphoto/Pkxoph5I9EzM4jCaqdp7mA/o.jpg,False,Av. Italia 1034,,,Santiago,CL,"['Av. Italia 1034', 'RM 7501297 Santiago', 'Chile']",RM,7501297,El Camino,+56229860765,$$$,3.5,12,[],https://www.yelp.com/biz/el-camino-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
17,el-ciudadano-santiago,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'italian', 'title': 'Italian'}]",-33.446033525825,-70.628685655542,+56 2 2248 9548,372.72024260914685,Lukol5kg93RhRD0CVUBLhA,https://s3-media2.fl.yelpcdn.com/bphoto/jTmHt9J52Nl3EXYBM65T8A/o.jpg,False,Seminario 400,,,Santiago,CL,"['Seminario 400', 'RM 7500847 Santiago', 'Chile']",RM,7500847,El Ciudadano,+56222489548,$$,4.0,25,[],https://www.yelp.com/biz/el-ciudadano-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
18,casaluz-santiago-4,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bars', 'title': 'Bars'}]",-33.442185,-70.626424,+56 2 2918 7204,202.71734071977343,Qtni8AS93H71AfyDIsijZg,https://s3-media4.fl.yelpcdn.com/bphoto/ilrP85BexenOWGwL_BvS2w/o.jpg,False,Av. Italia 805,,,Santiago,CL,"['Av. Italia 805', 'RM 7501184 Santiago', 'Chile']",RM,7501184,Casaluz,+56229187204,$$$,4.5,26,[],https://www.yelp.com/biz/casaluz-santiago-4?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
19,fiddlers-santiago-3,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",-33.4293153,-70.618948,+56 9 7560 7001,1733.1836326600185,iGvD2zDHJA6n21676oRyNg,https://s3-media2.fl.yelpcdn.com/bphoto/ikb8Tpz6QjgnawAcB_UrXA/o.jpg,False,Dr. Manuel Barros Borgoño 13,,,Santiago,CL,"['Dr. Manuel Barros Borgoño 13', 'RM 7500000 Santiago', 'Chile']",RM,7500000,Fiddlers,+56975607001,$$,4.0,14,[],https://www.yelp.com/biz/fiddlers-santiago-3?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
20,baco-santiago,"[{'alias': 'french', 'title': 'French'}]",-33.42095352,-70.61044579,+56 2 2231 4444,2911.6098888806855,oZ_pVyyyGS8mghqZ9X_NUw,https://s3-media4.fl.yelpcdn.com/bphoto/OoXeaAW_z40eR0mADp7Q3g/o.jpg,False,Nueva de Lyon 113,,,Santiago,CL,"['Nueva de Lyon 113', 'RM Santiago', 'Chile']",RM,,Baco,+56222314444,$$$,4.5,60,[],https://www.yelp.com/biz/baco-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
21,hansoban-santiago,"[{'alias': 'korean', 'title': 'Korean'}]",-33.4310893,-70.6433972,+56 8420413,2178.497886272044,jRi_FMiE3dbNZ9iL-jw4Og,https://s3-media1.fl.yelpcdn.com/bphoto/VCaF6DBiqrUZs1ABF5SfAw/o.jpg,False,Rio de Janeiro 248,,,Santiago,CL,"['Rio de Janeiro 248', 'RM 8420413 Santiago', 'Chile']",RM,8420413,Hansoban,+568420413,$$$,4.0,14,[],https://www.yelp.com/biz/hansoban-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
22,la-hacienda-gaucha-santiago-2,"[{'alias': 'bbq', 'title': 'Barbeque'}]",-33.4386931069913,-70.6081252589997,+56 22235305,1721.7375728313675,EG1MtnU1CapiqemCj9gPDg,https://s3-media2.fl.yelpcdn.com/bphoto/YiUIO9cx1MLEXR5WakCR_A/o.jpg,False,Pedro de Valdivia 1719,,,Santiago,CL,"['Pedro de Valdivia 1719', 'RM 7810000 Santiago', 'Chile']",RM,7810000,La Hacienda Gaucha,+5622235305,$$$,4.5,12,[],https://www.yelp.com/biz/la-hacienda-gaucha-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
23,castillo-forestal-santiago,"[{'alias': 'french', 'title': 'French'}, {'alias': 'chilean', 'title': 'Chilean'}]",-33.4348361156787,-70.642646313429,+56 2 2664 1544,1873.3304901425852,x4R6h8NqBQmEp-tAnyFO3g,https://s3-media4.fl.yelpcdn.com/bphoto/6h4WS1Cb0ZwI3fMxg84BMg/o.jpg,False,Av. Cardenal José María Caro 390,,,Santiago,CL,"['Av. Cardenal José María Caro 390', 'RM 8320000 Santiago', 'Chile']",RM,8320000,Castillo Forestal,+56226641544,$$$,4.5,15,[],https://www.yelp.com/biz/castillo-forestal-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
24,silabario-ñuñoa,"[{'alias': 'chilean', 'title': 'Chilean'}]",-33.4528107727535,-70.6216355085983,+56 2225025429,1059.6388263488348,80eQIQCfB5AA_V2eM7BDDw,https://s3-media3.fl.yelpcdn.com/bphoto/mSKXPzaAq7p96yIXAM9g4A/o.jpg,False,Lincoyán 920,,,Ñuñoa,CL,"['Lincoyán 920', 'RM Ñuñoa', 'Chile']",RM,,Silabario,+562225025429,$$$,5.0,5,[],https://www.yelp.com/biz/silabario-%C3%B1u%C3%B1oa?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
25,vietnam-discovery-santiago,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",-33.4297600392373,-70.6417747968658,+56 2 2737 2037,2171.129987983682,FNEPhjxzX849RnzXbKN2jw,https://s3-media1.fl.yelpcdn.com/bphoto/Ca5Yw0rDmPv-ZdtX_M5MAw/o.jpg,False,Loreto 324,,,Santiago,CL,"['Loreto 324', 'RM 8420368 Santiago', 'Chile']",RM,8420368,Vietnam Discovery,+56227372037,$$$$,4.0,23,[],https://www.yelp.com/biz/vietnam-discovery-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
26,the-raj-santiago,"[{'alias': 'indpak', 'title': 'Indian'}]",-33.44475,-70.614384,+56 2 2716 0077,1046.1329111626121,iEIT7ar9RW8OStdS0_pTDg,https://s3-media1.fl.yelpcdn.com/bphoto/QT8dCh5lfOgFL9IubQ2NUA/o.jpg,False,Av. Manuel Montt 1855,,,Santiago,CL,"['Av. Manuel Montt 1855', 'RM 7500000 Santiago', 'Chile']",RM,7500000,The Raj,+56227160077,$$,4.5,13,[],https://www.yelp.com/biz/the-raj-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
27,la-serrana-santiago,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",-33.4467390683777,-70.6489891558886,+56 2 2632 2879,2192.3620343452058,COqOSJ1EIeGC91PcpgKpWQ,https://s3-media4.fl.yelpcdn.com/bphoto/O4IEU889ANShrmqI_4RXBg/o.jpg,False,Serrano 163,,,Santiago,CL,"['Serrano 163', 'RM 8320000 Santiago', 'Chile']",RM,8320000,La Serrana,+56226322879,,4.5,9,[],https://www.yelp.com/biz/la-serrana-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
28,jardin-mallinkrodt-providencia,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'restaurants', 'title': 'Restaurants'}]",-33.43241,-70.63373,+56 9 5906 6635,1485.1040922091163,h8xupzTNMpFy8baMOJtAGg,https://s3-media3.fl.yelpcdn.com/bphoto/XQRW8033SCItFOJO0236LQ/o.jpg,False,Mallinkrodt 170,,,Providencia,CL,"['Mallinkrodt 170', 'RM Providencia', 'Chile']",RM,,Jardin Mallinkrodt,+56959066635,,5.0,4,[],https://www.yelp.com/biz/jardin-mallinkrodt-providencia?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
29,biwon-santiago,"[{'alias': 'korean', 'title': 'Korean'}]",-33.4223375,-70.6053371,+56 2 2951 8000,3045.576110341096,pIaTdO4k6MDcin_I4SF6ig,https://s3-media2.fl.yelpcdn.com/bphoto/dyq1fxVMV7tr8dNE--9U5w/o.jpg,False,Coronel 2376,Providencia,,Santiago,CL,"['Coronel 2376', 'Providencia', 'RM Santiago', 'Chile']",RM,,Biwon,+56229518000,$$$,5.0,4,[],https://www.yelp.com/biz/biwon-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
30,ootoya-santiago,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",-33.432904,-70.634749,+56 9 8145 6978,1485.8618510348438,7fUOuXtQBsskDnza60AXAw,https://s3-media4.fl.yelpcdn.com/bphoto/31KXjhS9Htkaf-ONEuwk1w/o.jpg,False,Constitución 125,,,Santiago,CL,"['Constitución 125', 'RM 7520360 Santiago', 'Chile']",RM,7520360,Ootoya,+56981456978,$$,5.0,4,[],https://www.yelp.com/biz/ootoya-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
31,el-ancla-santiago-2,"[{'alias': 'seafood', 'title': 'Seafood'}]",-33.4260559,-70.6187815,+56 2 2264 2275,2080.4588260789983,N-j6cssa5SGs9DptgFaKMg,https://s3-media4.fl.yelpcdn.com/bphoto/tRb5HE2-uLOC2qbEI3I-UQ/o.jpg,False,Santa Beatriz 191,,,Santiago,CL,"['Santa Beatriz 191', 'RM 7500000 Santiago', 'Chile']",RM,7500000,El Ancla,+56222642275,$$$,4.5,13,[],https://www.yelp.com/biz/el-ancla-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
32,restaurant-japón-santiago,"[{'alias': 'japanese', 'title': 'Japanese'}]",-33.4403283779055,-70.6351016070982,+56 22224517,965.0104131681807,AOOUaN28bZvgBEDzIkj4dg,https://s3-media4.fl.yelpcdn.com/bphoto/8NEhPamjPoLfql8FnRKjhw/o.jpg,False,Barón Pierre de Coubertin 39,,,Santiago,CL,"['Barón Pierre de Coubertin 39', 'RM Santiago', 'Chile']",RM,,Restaurant Japón,+5622224517,$$$,4.5,15,[],https://www.yelp.com/biz/restaurant-jap%C3%B3n-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
33,eccolo-qua-santiago-2,"[{'alias': 'italian', 'title': 'Italian'}]",-33.4408082,-70.627771,+56 2 2222 2098,395.76232318475917,ena69HR-tQZjtdMTC5czWw,https://s3-media4.fl.yelpcdn.com/bphoto/nhksjHFrsVzomSCWETydhA/o.jpg,False,Av. Condell 621,,,Santiago,CL,"['Av. Condell 621', 'RM 7970000 Santiago', 'Chile']",RM,7970000,Eccolo Qua,+56222222098,$$$,4.5,8,[],https://www.yelp.com/biz/eccolo-qua-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
34,da-noi-santiago,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'trattorie', 'title': 'Trattorie'}]",-33.45072,-70.623966,+56 22742001,776.0559878232501,DUbB2zPmssqzUTdQGcWKvQ,https://s3-media2.fl.yelpcdn.com/bphoto/Qp6LYRBP44lP33FJ1yvNXw/o.jpg,False,Av. Italia 1791,,,Santiago,CL,"['Av. Italia 1791', 'RM 7750000 Santiago', 'Chile']",RM,7750000,Da Noi,+5622742001,$$,4.5,14,[],https://www.yelp.com/biz/da-noi-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
35,restaurant-casa-de-cena-santiago,"[{'alias': 'chilean', 'title': 'Chilean'}]",-33.43892437,-70.6342623692103,+56 2 2634 1080,973.5211693389622,IEs7qK1z0I0YJzGg1Wh80g,https://s3-media4.fl.yelpcdn.com/bphoto/2Yg-5F2IN_9N2I4aBzuTqw/o.jpg,False,Almirante Simpson 20,,,Santiago,CL,"['Almirante Simpson 20', 'RM 7500000 Santiago', 'Chile']",RM,7500000,Restaurant Casa de Cena,+56226341080,$$,4.5,6,[],https://www.yelp.com/biz/restaurant-casa-de-cena-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
36,le-due-torri-santiago-2,"[{'alias': 'italian', 'title': 'Italian'}]",-33.44009304923,-70.6481483430217,+56 2 2633 3799,2133.1143947554915,uQ5yMmNe6geJVmMY_grMHQ,https://s3-media2.fl.yelpcdn.com/bphoto/Twz_r5bh2iXwMSoZVtXa7g/o.jpg,False,San Antonio 258,,,Santiago,CL,"['San Antonio 258', 'RM 8320000 Santiago', 'Chile']",RM,8320000,Le Due Torri,+56226333799,$$$,5.0,6,[],https://www.yelp.com/biz/le-due-torri-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
