,temp_deg,salinity
697,5.77,34.02
700,4.19,33.86
701,13.7,33.12
702,13.26,33.15
703,13.22,33.15
704,12.86,33.15
705,12.76,33.15
706,12.46,33.179
707,11.72,33.24
708,11.54,33.229
709,10.78,33.19
710,10.41,33.217
711,9.83,33.3
712,9.53,33.394
713,9.03,33.611
714,8.92,33.69
715,8.68,33.783
716,8.31,33.91
717,8.13,33.939
718,7.71,33.939
719,7.52,33.95
720,7.25,33.963
721,6.56,33.8
722,6.35,34.015
723,5.85,34.065
724,5.67,34.09
725,5.45,34.099
726,5.03,34.121
727,4.63,34.147
728,4.48,34.16
729,4.31,34.211
730,4.03,34.299
731,3.74,34.388
732,3.48,34.47
733,13.9,33.13
734,13.44,33.12
735,13.2,33.169
736,13.13,33.19
737,13.02,33.185
738,12.59,33.15
739,12.44,33.158
740,11.4,33.21
741,11.23,33.196
742,10.71,33.15
743,10.4,33.18
744,9.5,33.349
745,9.09,33.48
746,8.9,33.601
747,8.56,33.93
748,8.43,33.988
749,7.95,34.026
750,7.67,34.07
751,7.43,34.061
752,6.64,34.02
753,6.36,34.046
754,5.58,34.167
755,5.26,34.25
756,5.11,34.27
757,4.79,34.313
758,4.47,34.358
759,4.18,34.4
760,13.6,33.13
761,12.98,33.15
762,12.93,33.149
763,12.56,33.132
764,12.54,33.13
765,12.5,33.131
766,12.48,33.15
767,12.18,33.177
768,11.8,33.24
769,11.44,33.441
770,11.38,33.48
771,10.83,33.457
772,10.37,33.39
773,10.02,33.435
774,9.05,33.607
775,8.9,33.64
776,8.05,33.864
777,7.7,33.96
778,7.49,33.968
779,6.86,33.96
780,6.72,33.95
781,6.19,33.98
782,6.04,33.999
783,5.49,34.083
784,5.09,34.17
785,4.98,34.2
786,4.79,34.221
787,4.49,34.253
788,4.19,34.288
789,3.9,34.323
790,3.84,34.33
791,14.2,33.37
792,13.66,33.33
793,13.62,33.326
794,13.29,33.289
795,13.2,33.28
796,12.88,33.28
797,12.17,33.28
798,11.96,33.28
799,11.32,33.28
800,11.05,33.291
801,10.59,33.33
802,10.21,33.401
803,9.43,33.598
804,9.18,33.68
805,8.84,33.806
806,8.34,34.0
807,8.1,33.984
808,7.56,33.962
809,7.35,33.96
810,7.01,33.961
811,6.24,33.98
812,6.04,33.987
813,5.67,34.02
814,5.6,34.04
815,5.37,34.103
816,4.97,34.218
817,4.57,34.335
818,4.49,34.36
823,3.41,34.2
824,14.37,33.55
825,14.23,33.55
826,14.22,33.55
827,14.05,33.546
828,19.76,33.53
829,13.83,33.534
830,13.3,33.49
831,13.22,33.478
832,12.08,33.37
833,12.03,33.371
834,10.77,33.46
835,10.13,33.575
836,9.78,33.71
837,9.76,33.718
838,8.99,34.09
839,8.96,34.09
840,8.33,34.09
841,7.8,34.09
842,7.78,34.089
843,6.73,34.05
844,6.73,34.051
845,6.55,34.183
846,6.38,34.31
847,6.37,34.312
848,5.82,34.374
849,5.23,34.413
850,4.63,34.43
851,4.62,34.43
852,4.3,34.419
853,3.98,34.41
854,3.66,34.403
855,3.52,34.4
856,13.6,33.42
857,13.65,33.49
858,13.64,33.49
859,13.57,33.49
860,13.52,33.49
861,13.51,33.521
862,13.48,33.6
863,13.49,33.587
864,13.52,33.51
865,13.46,33.516
866,13.06,33.48
867,12.56,33.489
868,10.93,33.574
869,10.18,33.64
870,9.79,33.723
871,9.31,33.89
872,8.87,33.961
873,7.87,34.09
874,7.36,34.13
875,7.15,34.154
876,6.63,34.2
877,6.56,34.203
878,6.2,34.223
879,5.9,34.24
880,13.2,33.49
881,13.26,33.49
882,13.26,33.492
883,13.16,33.517
884,13.65,33.52
885,12.96,33.544
886,12.28,33.6
887,12.23,33.601
888,10.87,33.62
889,10.16,33.62
890,10.12,33.62
891,9.8,33.721
892,9.53,33.849
893,9.51,33.86
894,8.61,33.947
895,8.55,33.95
896,7.82,34.05
897,7.2,34.131
898,7.13,34.14
899,6.48,34.091
900,6.44,34.09
901,6.04,34.161
902,5.68,34.274
903,5.64,34.29
904,5.25,34.328
905,4.83,34.373
906,4.42,34.422
907,4.35,34.43
911,3.36,34.65
912,13.65,33.51
913,13.71,33.49
914,13.71,33.48
915,13.68,33.433
916,13.67,33.42
917,13.69,33.427
918,13.72,33.44
919,13.55,33.436
920,12.79,33.4
921,12.42,33.368
922,11.52,33.3
923,11.16,33.291
924,10.18,33.333
925,9.74,33.4
926,9.46,33.494
927,8.76,33.8
928,8.5,33.865
929,7.8,33.977
930,7.51,33.98
931,7.19,34.011
932,6.45,34.09
933,6.39,34.154
934,6.23,34.299
935,6.18,34.33
936,5.83,34.382
937,5.26,34.431
938,4.71,34.45
939,4.67,34.448
940,4.35,34.43
941,4.03,34.415
942,3.71,34.401
943,3.69,34.4
944,13.6,33.4
945,13.61,33.33
946,13.61,33.331
947,13.57,33.344
948,13.54,33.35
949,13.53,33.358
950,13.47,33.39
951,13.46,33.389
952,13.0,33.295
953,12.85,33.26
954,11.91,33.274
955,11.8,33.28
956,10.45,33.431
957,9.18,33.641
958,9.09,33.66
959,8.45,33.867
960,8.45,33.87
961,7.79,33.87
962,7.18,33.87
963,6.4,34.061
964,6.38,34.07
965,5.84,34.205
966,5.34,34.322
967,5.26,34.4
968,4.92,34.412
969,4.57,34.476
970,4.31,34.51
971,4.3,34.511
972,4.01,34.53
973,3.71,34.55
974,3.42,34.572
975,3.32,34.58
976,13.3,33.44
977,13.35,33.28
978,13.32,33.275
979,13.11,33.236
980,12.98,33.21
981,12.92,33.199
982,12.78,33.19
983,12.75,33.192
984,12.64,33.24
985,12.62,33.254
986,12.52,33.39
987,12.31,33.407
988,10.89,33.519
989,9.67,33.62
990,9.49,33.661
991,8.66,33.91
992,8.5,33.938
993,7.76,34.035
994,7.36,34.04
995,7.22,34.04
996,6.58,34.04
997,6.44,34.049
998,5.85,34.113
999,5.6,34.16
1000,5.37,34.217
1001,4.92,34.334
1002,4.53,34.444
1003,4.38,34.49
1004,4.22,34.501
1005,3.93,34.522
1006,3.64,34.544
1007,3.45,34.56
1008,13.89,33.42
1009,13.94,33.51
1010,13.94,33.507
1011,13.93,33.458
1012,13.92,33.42
1013,13.84,33.409
1014,13.48,33.35
1015,13.47,33.351
1016,13.07,33.31
1017,11.73,33.328
1018,11.67,33.33
1019,10.52,33.401
1020,9.55,33.51
1021,8.62,33.75
1022,8.57,33.757
1023,7.81,33.843
1024,7.27,33.86
1025,7.23,33.864
1026,6.49,33.96
1027,6.47,33.962
1028,5.9,34.02
1029,5.25,34.14
1030,5.39,34.08
1031,4.97,34.142
